dwpf,relh,drct,alti,vsby,feel,temp_c
44.6,58.77,140.0,30.39,7.0,59.0,15.0
35.6,36.45,70.0,30.15,7.0,62.6,17.0
48.2,67.33,60.0,30.0,7.0,59.0,15.0
42.8,54.86,340.0,30.18,7.0,59.0,15.0
35.0,32.66,180.0,30.24,19.0,65.12,18.400000000000002
39.2,34.8,30.0,30.24,6.0,68.0,20.0
35.6,32.14,290.0,29.85,19.0,66.2,19.0
48.2,67.33,70.0,29.8,7.0,59.0,15.0
41.0,54.6,80.0,29.91,7.0,57.2,14.000000000000002
37.4,41.71,100.0,29.88,7.0,60.8,16.0
42.8,51.45,100.0,29.88,7.0,60.8,16.0
35.6,36.45,150.0,29.94,7.0,62.6,17.0
46.4,55.37,80.0,30.0,7.0,62.6,17.0
39.2,44.76,350.0,30.0,7.0,60.8,16.0
53.6,67.95,210.0,30.0,7.0,64.4,18.000000000000004
51.8,56.13,60.0,30.06,6.0,68.0,20.0
53.0,64.56,210.0,29.97,7.0,65.3,18.5
48.2,55.63,90.0,29.8,7.0,64.4,18.000000000000004
46.4,48.83,110.0,29.83,7.0,66.2,19.0
53.6,63.82,180.0,30.03,7.0,66.2,19.0
55.4,64.04,210.0,30.18,7.0,68.0,20.0
52.16,49.69,220.0,30.24,12.0,71.96,22.22222222222222
48.2,40.85,150.0,30.18,7.0,73.4,23.000000000000004
42.0,31.6,220.0,30.24,19.0,74.12,23.400000000000002
55.22,60.19,210.0,30.09,12.0,69.62,20.900000000000002
56.84,61.89,60.0,29.91,7.0,70.52,21.399999999999995
57.2,68.35,80.0,29.83,7.0,68.0,20.0
52.16,55.49,210.0,29.88,19.0,68.72,20.4
53.6,87.74,50.0,29.85,5.0,57.2,14.000000000000002
44.6,66.91,200.0,29.62,7.0,55.4,13.0
44.6,48.55,230.0,29.65,7.0,64.4,18.000000000000004
48.2,67.33,140.0,29.77,7.0,59.0,15.0
47.66,56.97,210.0,29.71,19.0,63.14,17.299999999999997
55.4,68.15,200.0,29.77,7.0,66.2,19.0
56.66,69.58,210.0,29.74,7.0,66.92,19.444444444444443
51.0,48.33,230.0,29.68,19.0,71.6,21.999999999999996
48.0,44.46,230.0,29.68,19.0,70.7,21.5
53.6,67.95,70.0,29.74,7.0,64.4,18.000000000000004
48.2,52.25,210.0,29.8,7.0,66.2,19.0
46.4,62.92,210.0,29.8,7.0,59.0,15.0
41.0,35.09,180.0,29.83,7.0,69.8,21.0
47.0,52.06,150.0,30.09,19.0,64.94,18.333333333333332
42.44,43.05,210.0,30.27,19.0,65.48,18.600000000000005
55.4,64.04,210.0,30.21,6.0,68.0,20.0
53.0,57.72,210.0,30.15,19.0,68.54,20.300000000000004
49.46,49.9,210.0,30.21,9.0,68.9,20.555555555555557
52.7,49.47,220.0,30.12,11.0,72.68,22.600000000000005
45.68,36.04,110.0,30.09,19.0,74.3,23.5
57.2,64.26,80.0,30.06,7.0,69.8,21.0
59.0,64.48,210.0,30.06,6.0,71.6,21.999999999999996
57.2,60.44,200.0,30.0,6.0,71.6,21.999999999999996
61.0,67.52,210.0,29.83,17.0,72.32,22.399999999999995
52.16,49.99,140.0,29.91,19.0,71.78,22.1
55.4,55.6,140.0,29.97,19.0,72.14,22.299999999999997
50.0,41.88,220.0,30.09,19.0,74.66,23.7
53.6,49.9,100.0,30.15,6.0,73.4,23.000000000000004
59.0,53.8,170.0,30.0,7.0,77.0,25.0
56.0,51.78,40.0,29.97,16.0,74.84,23.8
60.26,61.95,60.0,29.94,19.0,74.12,23.400000000000002
60.44,58.35,230.0,29.83,19.0,76.1,24.444444444444443
61.88,59.96,210.0,30.03,19.0,76.82,24.899999999999995
59.0,57.12,270.0,30.09,6.0,75.2,24.0
59.0,60.67,270.0,30.03,7.0,73.4,23.000000000000004
63.68,67.01,200.0,29.97,19.0,75.38,24.099999999999998
63.86,64.28,210.0,29.8,19.0,76.82,24.899999999999995
62.6,71.94,130.0,29.59,11.0,72.14,22.299999999999997
58.82,57.44,210.0,29.71,19.0,74.84,23.8
59.0,64.48,170.0,29.85,7.0,71.6,21.999999999999996
57.2,56.88,30.0,29.88,7.0,73.4,23.000000000000004
60.62,63.12,110.0,29.94,19.0,73.94,23.333333333333332
58.28,58.07,170.0,29.91,19.0,73.94,23.333333333333332
51.8,52.77,200.0,29.85,7.0,69.8,21.0
51.8,49.64,220.0,29.88,7.0,71.6,21.999999999999996
51.8,52.77,20.0,29.94,7.0,69.8,21.0
51.8,43.97,230.0,29.94,7.0,75.2,24.0
52.7,45.45,10.0,29.83,19.0,75.2,24.0
36.86,25.02,290.0,29.74,19.0,75.02,23.88888888888889
48.2,40.85,190.0,29.94,6.0,73.4,23.000000000000004
53.0,50.43,180.0,30.06,19.0,72.5,22.5
62.24,66.05,220.0,30.03,15.0,74.3,23.5
54.86,48.9,220.0,30.03,19.0,75.38,24.099999999999998
59.18,51.63,200.0,29.94,19.0,78.44,25.799999999999997
60.8,57.36,210.0,29.91,7.0,77.0,25.0
54.5,37.86,220.0,30.0,19.0,81.85,28.200000000000003
53.6,34.97,210.0,30.03,7.0,82.76,29.0
62.78,51.84,220.0,30.06,19.0,83.3,27.9
54.68,39.24,230.0,30.03,19.0,81.25,27.700000000000003
63.5,49.3,210.0,29.97,19.0,85.7,29.200000000000003
67.46,60.67,190.0,29.97,19.0,85.14,28.000000000000004
65.84,58.37,160.0,30.06,16.0,83.94,27.700000000000003
66.0,54.14,220.0,30.12,7.0,86.6,29.099999999999998
64.22,49.69,180.0,30.09,22.0,86.52,29.444444444444443
68.0,65.54,80.0,30.12,7.0,83.29,26.999999999999996
70.0,65.0,210.0,30.06,19.0,86.99,28.333333333333332
66.2,54.8,200.0,30.09,6.0,86.5,29.0
70.7,63.96,170.0,30.06,19.0,89.0,29.0
66.2,58.08,80.0,30.09,7.0,84.63,28.000000000000004
62.6,48.32,260.0,30.03,6.0,85.03,29.0
69.62,57.2,220.0,29.94,15.0,91.1,30.300000000000004
65.0,50.08,110.0,29.91,13.0,87.38,29.799999999999997
68.0,58.32,190.0,29.8,7.0,87.4,29.0
69.8,69.71,120.0,29.97,7.0,83.9,26.999999999999996
70.88,63.61,180.0,29.97,19.0,89.57,29.200000000000003
69.8,62.03,210.0,30.09,7.0,88.43,29.0
65.84,52.27,210.0,30.12,19.0,87.45,29.599999999999998
70.52,60.7,200.0,30.03,13.0,90.66,29.799999999999997
66.2,50.26,200.0,29.94,16.0,89.34,30.555555555555557
63.5,44.2,160.0,29.83,19.0,89.08,31.11111111111111
64.4,57.84,90.0,29.91,7.0,82.27,26.999999999999996
60.8,48.05,220.0,30.09,7.0,82.9,28.000000000000004
54.86,40.91,180.0,30.09,19.0,80.57,27.1
63.86,53.22,210.0,29.91,19.0,83.97,28.099999999999998
62.78,50.94,200.0,29.94,19.0,83.78,28.200000000000003
55.4,39.58,210.0,30.06,6.0,81.75,28.000000000000004
70.0,63.88,220.0,30.06,19.0,87.66,28.600000000000005
69.0,60.85,170.0,29.88,19.0,87.48,28.800000000000004
64.22,55.82,200.0,29.94,17.0,83.07,27.5
69.26,59.85,220.0,30.0,19.0,88.74,29.299999999999997
69.44,60.22,210.0,30.0,19.0,88.86,29.299999999999997
67.0,56.84,130.0,29.97,12.0,86.46,28.800000000000004
58.28,45.49,190.0,29.97,19.0,81.5,27.399999999999995
60.26,47.97,200.0,29.88,0.0,82.33,27.700000000000003
62.6,54.3,160.0,29.85,7.0,81.84,26.999999999999996
56.3,43.88,210.0,30.03,19.0,80.43,26.799999999999997
68.36,60.08,230.0,30.03,14.0,86.98,28.699999999999996
67.46,59.62,220.0,30.03,19.0,85.74,28.333333333333332
72.5,67.6,210.0,29.97,19.0,90.5,29.099999999999998
69.62,63.83,180.0,29.97,14.0,87.02,28.400000000000002
69.26,63.42,110.0,30.03,12.0,86.61,28.333333333333332
64.0,49.95,210.0,29.97,12.0,86.09,29.299999999999997
57.56,51.09,220.0,29.97,19.0,77.0,25.0
57.74,51.42,210.0,29.94,19.0,77.0,25.0
52.7,38.93,190.0,30.0,19.0,79.88,26.599999999999998
54.68,47.14,130.0,30.12,19.0,76.28,24.6
66.56,58.81,210.0,30.06,19.0,84.77,28.000000000000004
68.36,61.14,230.0,29.88,19.0,86.37,28.400000000000002
69.0,66.03,120.0,29.97,19.0,84.48,27.399999999999995
67.64,57.26,110.0,30.15,19.0,87.41,29.099999999999998
69.0,53.03,220.0,30.21,19.0,92.81,31.300000000000004
68.0,53.79,230.0,30.09,12.0,90.22,30.400000000000002
73.76,70.12,210.0,29.85,9.0,91.75,29.200000000000003
68.36,60.78,130.0,29.94,19.0,86.57,28.5
65.84,52.88,230.0,30.06,19.0,87.08,29.444444444444443
73.58,67.71,210.0,29.94,9.0,92.87,29.699999999999996
68.0,43.88,200.0,29.8,6.0,97.67,34.0
53.42,37.26,340.0,30.0,19.0,81.19,27.77777777777778
55.4,41.97,210.0,30.03,7.0,80.53,26.999999999999996
57.56,49.0,140.0,30.0,19.0,78.26,25.700000000000003
57.2,46.68,190.0,30.0,19.0,79.34,26.3
63.5,58.07,220.0,29.88,12.0,79.52,26.399999999999995
60.8,52.79,120.0,29.94,19.0,79.52,26.399999999999995
62.6,54.3,200.0,30.0,7.0,81.84,26.999999999999996
69.44,62.71,220.0,30.0,17.0,87.35,28.600000000000005
67.28,56.56,200.0,29.97,17.0,87.22,29.099999999999998
67.64,57.6,220.0,29.85,12.0,87.21,29.0
68.36,60.78,210.0,29.56,11.0,86.57,28.5
49.46,34.33,210.0,29.85,19.0,79.53,26.666666666666668
55.4,47.25,80.0,30.06,7.0,77.0,25.0
61.7,54.5,190.0,30.12,19.0,79.52,26.399999999999995
61.0,51.58,220.0,30.03,19.0,81.35,26.900000000000002
60.0,45.23,220.0,30.12,19.0,83.61,28.600000000000005
59.0,48.07,200.0,30.21,16.0,80.98,26.900000000000002
58.82,46.65,350.0,30.21,11.0,81.47,27.299999999999997
68.0,69.52,220.0,30.03,7.0,78.8,26.0
68.18,64.79,150.0,29.94,11.0,83.99,27.299999999999997
68.0,73.78,210.0,29.88,7.0,77.0,25.0
58.0,63.56,180.0,29.94,19.0,70.88,21.599999999999998
53.78,44.28,190.0,29.97,19.0,77.18,25.100000000000005
62.0,66.43,10.0,30.03,10.0,73.94,23.333333333333332
64.58,72.57,70.0,30.03,19.0,73.94,23.333333333333332
64.0,64.69,140.0,30.09,19.0,76.82,24.899999999999995
66.2,69.33,210.0,30.0,7.0,77.0,25.0
61.0,56.04,210.0,29.71,19.0,77.9,25.555555555555557
53.6,46.98,180.0,29.71,7.0,75.2,24.0
52.16,52.18,110.0,29.8,19.0,70.52,21.399999999999995
41.0,35.09,220.0,29.88,19.0,69.8,21.0
50.0,49.37,140.0,30.03,7.0,69.8,21.0
42.8,33.29,160.0,30.03,7.0,73.4,23.000000000000004
56.48,50.63,150.0,30.03,13.0,76.1,24.444444444444443
60.8,64.69,80.0,29.94,7.0,73.4,23.000000000000004
65.12,69.22,120.0,29.94,19.0,75.92,24.444444444444443
65.3,64.84,140.0,29.8,12.0,78.08,25.555555555555557
46.0,32.22,300.0,29.62,19.0,78.08,25.555555555555557
46.4,35.73,240.0,29.85,19.0,75.38,24.099999999999998
61.7,60.65,170.0,29.88,12.0,76.28,24.6
62.6,68.94,70.0,30.0,7.0,73.4,23.000000000000004
69.8,78.48,70.0,29.94,7.0,77.0,25.0
66.2,69.33,80.0,29.85,7.0,77.0,25.0
66.38,82.6,110.0,29.65,3.0,71.96,22.22222222222222
60.8,68.75,90.0,29.53,7.0,71.6,21.999999999999996
49.82,54.48,40.0,29.5,12.0,66.74,19.299999999999997
54.68,60.49,60.0,29.77,19.0,68.9,20.555555555555557
55.0,62.82,160.0,29.85,10.0,68.18,20.100000000000005
48.38,48.82,360.0,29.83,16.0,68.36,20.200000000000003
42.8,44.76,10.0,29.83,12.0,64.76,18.200000000000003
39.2,32.72,180.0,29.85,7.0,69.8,21.0
33.8,31.85,90.0,30.0,6.0,64.4,18.000000000000004
33.8,31.85,360.0,29.97,6.0,64.4,18.000000000000004
45.14,45.69,200.0,30.0,19.0,66.74,19.299999999999997
51.8,63.6,70.0,30.21,7.0,64.4,18.000000000000004
56.12,61.8,190.0,30.12,19.0,69.8,21.0
55.58,59.86,200.0,30.03,16.0,70.16,21.2
50.72,53.27,210.0,29.88,9.0,68.36,20.200000000000003
26.24,23.13,320.0,29.88,19.0,64.76,18.200000000000003
24.8,22.06,160.0,30.15,7.0,64.4,18.000000000000004
34.88,30.28,230.0,30.21,19.0,67.1,19.444444444444443
41.18,38.77,50.0,30.21,12.0,67.1,19.444444444444443
55.0,62.82,200.0,30.0,16.0,68.18,20.100000000000005
45.14,42.94,230.0,29.74,19.0,68.54,20.300000000000004
46.58,43.7,240.0,29.35,12.0,69.62,20.900000000000002
50.0,59.5,360.0,29.74,7.0,64.4,18.000000000000004
46.4,37.95,350.0,29.94,19.0,73.58,23.099999999999998
49.46,47.79,220.0,30.18,19.0,70.16,21.2
53.0,51.36,190.0,30.36,12.0,71.96,22.22222222222222
57.2,68.35,80.0,30.39,7.0,68.0,20.0
52.7,59.12,220.0,30.18,9.0,67.46,19.699999999999996
48.38,51.95,120.0,29.68,9.0,66.56,19.200000000000003
41.0,51.18,250.0,29.21,7.0,59.0,15.0
38.0,33.54,270.0,29.09,19.0,67.64,19.799999999999997
37.4,36.74,270.0,29.53,7.0,64.4,18.000000000000004
33.26,30.98,260.0,30.03,19.0,64.58,18.099999999999998
53.6,59.97,230.0,30.03,6.0,68.0,20.0
50.0,55.19,230.0,29.85,19.0,66.56,19.200000000000003
57.2,72.74,210.0,29.71,7.0,66.2,19.0
38.48,40.83,320.0,29.85,18.0,62.6,17.0
29.12,26.03,300.0,29.94,19.0,64.76,18.200000000000003
41.0,54.6,320.0,29.77,7.0,57.2,14.000000000000002
37.0,42.73,210.0,29.91,19.0,59.72,15.399999999999999
41.0,62.23,320.0,30.0,7.0,53.6,12.0
50.0,76.82,260.0,29.77,7.0,57.2,14.000000000000002
41.0,48.0,300.0,29.56,7.0,60.8,16.0
39.2,44.76,340.0,29.59,7.0,60.8,16.0
39.2,50.91,340.0,29.77,6.0,57.2,14.000000000000002
35.6,44.19,230.0,29.88,7.0,57.2,14.000000000000002
33.8,41.13,260.0,29.74,7.0,57.2,14.000000000000002
29.3,39.09,300.0,29.8,19.0,53.6,12.0
30.2,40.54,310.0,29.59,7.0,53.6,12.0
32.0,38.26,240.0,29.53,7.0,57.2,14.000000000000002
33.8,61.28,320.0,29.71,7.0,41.85,8.0
48.2,93.5,330.0,29.47,7.0,50.0,10.0
37.4,47.44,260.0,29.53,6.21,57.2,14.000000000000002
30.2,40.54,320.0,29.74,6.21,53.6,12.0
26.6,39.95,280.0,29.85,6.21,50.0,10.0
32.0,46.59,280.0,30.18,6.21,51.8,10.999999999999998
46.4,67.12,290.0,29.91,6.21,57.2,14.000000000000002
53.6,72.38,230.0,29.59,6.21,62.6,17.0
48.2,52.25,240.0,29.62,6.21,66.2,19.0
55.4,68.15,240.0,29.77,6.21,66.2,19.0
55.4,82.37,110.0,30.15,6.21,60.8,16.0
48.2,67.33,280.0,30.42,6.21,59.0,15.0
42.8,54.86,220.0,30.21,6.21,59.0,15.0
39.2,47.72,280.0,29.83,6.21,59.0,15.0
42.8,62.46,280.0,29.91,6.21,55.4,13.0
39.2,58.02,100.0,30.03,6.21,53.6,12.0
23.0,34.39,210.0,30.12,6.21,50.0,10.0
14.0,23.37,310.0,30.03,6.21,50.0,10.0
30.2,40.54,310.0,29.5,6.21,53.6,12.0
33.8,50.08,120.0,29.65,6.21,51.8,10.999999999999998
41.0,58.27,300.0,29.53,6.21,55.4,13.0
44.6,62.69,210.0,29.8,6.21,57.2,14.000000000000002
48.2,93.5,350.0,29.56,3.73,50.0,10.0
57.2,100.0,130.0,29.35,5.59,57.2,14.000000000000002
50.0,67.54,300.0,29.26,6.21,60.8,16.0
33.8,43.9,320.0,29.59,6.21,55.4,13.0
19.4,27.62,310.0,29.85,6.21,51.8,10.999999999999998
15.8,25.28,320.0,30.0,6.21,50.0,10.0
28.4,40.25,320.0,30.15,6.21,51.8,10.999999999999998
39.2,54.34,320.0,30.12,6.21,55.4,13.0
46.4,67.12,320.0,30.06,6.21,57.2,14.000000000000002
48.2,71.83,70.0,30.09,6.21,57.2,14.000000000000002
51.8,87.65,330.0,30.06,6.21,55.4,13.0
48.2,71.83,330.0,30.06,7.0,57.2,14.000000000000002
46.4,67.12,280.0,29.97,7.0,57.2,14.000000000000002
39.2,66.27,320.0,30.09,7.0,50.0,10.0
36.0,56.43,50.0,30.0,11.0,50.9,10.555555555555555
46.4,71.64,50.0,29.94,6.0,55.4,13.0
51.8,76.98,210.0,29.91,6.0,59.0,15.0
53.6,82.25,200.0,29.94,7.0,59.0,15.0
48.2,63.15,230.0,30.06,6.0,60.8,16.0
48.2,59.26,270.0,29.97,7.0,62.6,17.0
48.2,71.83,200.0,30.12,6.21,57.2,14.000000000000002
42.26,45.81,310.0,30.0,19.0,63.5,17.5
46.4,62.92,270.0,30.24,7.0,59.0,15.0
46.4,59.01,320.0,30.21,6.0,60.8,16.0
50.0,72.01,220.0,30.12,6.0,59.0,15.0
50.0,72.01,220.0,30.33,6.0,59.0,15.0
48.2,81.87,230.0,30.36,7.0,53.6,12.0
45.0,71.02,220.0,30.33,4.0,54.14,12.3
48.2,71.83,210.0,30.3,5.0,57.2,14.000000000000002
48.2,71.83,210.0,30.21,6.21,57.2,14.000000000000002
42.8,66.7,280.0,30.12,6.21,53.6,12.0
12.2,20.2,120.0,30.09,6.21,51.8,10.999999999999998
17.6,29.23,100.0,30.12,6.21,45.63,9.000000000000002
24.8,42.44,270.0,30.12,6.21,44.24,8.0
23.0,34.39,170.0,30.12,6.21,50.0,10.0
26.6,39.95,270.0,30.06,6.21,50.0,10.0
32.0,49.81,270.0,29.8,6.21,50.0,10.0
41.0,66.48,40.0,29.65,6.21,51.8,10.999999999999998
46.4,76.5,60.0,29.83,6.21,53.6,12.0
44.6,66.91,220.0,29.71,6.21,55.4,13.0
42.8,76.18,50.0,29.85,6.21,50.0,10.0
37.4,54.07,310.0,29.97,6.21,53.6,12.0
35.6,47.16,320.0,30.15,6.0,55.4,13.0
27.86,30.31,310.0,30.15,19.0,59.0,15.0
33.8,41.13,300.0,30.3,6.0,57.2,14.000000000000002
34.88,42.66,340.0,30.47,14.0,57.38,14.100000000000001
42.26,55.14,230.0,30.45,6.0,58.28,14.600000000000001
48.2,52.25,230.0,30.36,6.0,66.2,19.0
43.88,64.68,110.0,30.33,6.0,55.58,13.1
44.6,71.45,220.0,30.18,7.0,53.6,12.0
44.6,66.91,210.0,30.18,7.0,55.4,13.0
46.4,71.64,220.0,30.21,6.0,55.4,13.0
42.0,59.97,230.0,30.12,19.0,55.76,13.199999999999998
44.0,65.12,210.0,30.09,5.0,55.58,13.1
50.0,76.82,230.0,29.88,7.0,57.2,14.000000000000002
46.4,76.5,310.0,29.77,6.0,53.6,12.0
39.2,58.02,310.0,29.59,7.0,53.6,12.0
31.46,34.2,270.0,29.5,19.0,59.72,15.399999999999999
46.4,93.45,350.0,29.35,7.0,46.34,9.000000000000002
32.54,30.28,310.0,29.88,19.0,64.4,18.000000000000004
41.0,51.51,200.0,29.94,13.0,58.82,14.899999999999999
48.0,68.63,190.0,29.97,12.0,58.28,14.600000000000001
42.8,51.45,220.0,30.0,7.0,60.8,16.0
35.6,30.2,310.0,29.77,7.0,68.0,20.0
48.2,66.9,200.0,30.15,14.0,59.18,15.100000000000001
43.7,49.03,90.0,30.27,16.0,63.14,17.299999999999997
43.34,51.86,220.0,30.21,10.0,61.16,16.2
47.48,63.06,190.0,30.18,9.0,60.08,15.555555555555555
48.2,67.33,140.0,30.06,7.0,59.0,15.0
39.2,58.02,120.0,29.97,7.0,53.6,12.0
32.18,40.34,190.0,30.0,19.0,55.94,13.333333333333334
38.12,53.82,110.0,30.06,9.0,54.5,12.5
44.6,87.28,220.0,30.12,4.0,44.53,9.000000000000002
42.8,62.46,50.0,30.15,7.0,55.4,13.0
41.0,54.6,70.0,30.15,7.0,57.2,14.000000000000002
41.0,51.84,220.0,30.06,19.0,58.64,14.799999999999999
46.4,62.92,80.0,30.21,6.0,59.0,15.0
42.8,58.52,80.0,30.39,7.0,57.2,14.000000000000002
41.0,53.89,200.0,30.24,11.0,57.56,14.200000000000001
48.2,71.83,210.0,30.24,7.0,57.2,14.000000000000002
44.6,62.69,50.0,30.15,7.0,57.2,14.000000000000002
53.6,93.65,90.0,29.68,2.0,55.4,13.0
49.0,65.31,210.0,29.62,19.0,60.8,16.0
51.8,82.12,50.0,29.8,7.0,57.2,14.000000000000002
55.4,87.83,40.0,29.53,7.0,59.0,15.0
51.8,82.12,220.0,29.5,7.0,57.2,14.000000000000002
44.6,40.29,150.0,29.83,7.0,69.8,21.0
46.4,51.01,210.0,30.12,19.0,64.94,18.333333333333332
44.24,48.8,220.0,30.24,19.0,63.86,17.700000000000003
39.2,44.76,80.0,30.27,7.0,60.8,16.0
46.4,62.92,60.0,30.33,7.0,59.0,15.0
41.0,51.18,80.0,30.42,7.0,59.0,15.0
41.0,48.0,70.0,30.47,7.0,60.8,16.0
42.8,51.45,70.0,30.47,7.0,60.8,16.0
46.76,62.16,150.0,30.24,12.0,59.72,15.399999999999999
51.8,76.98,220.0,30.06,6.0,59.0,15.0
55.4,77.29,220.0,29.83,7.0,62.6,17.0
48.2,59.26,330.0,30.0,7.0,62.6,17.0
46.4,51.98,330.0,30.03,7.0,64.4,18.000000000000004
49.0,62.07,180.0,30.15,19.0,62.24,16.8
47.84,52.2,200.0,30.3,14.0,65.84,18.8
53.6,63.82,220.0,30.27,6.0,66.2,19.0
55.4,64.04,220.0,30.09,6.0,68.0,20.0
47.0,45.4,200.0,29.94,19.0,68.9,20.555555555555557
53.6,65.03,20.0,30.18,12.0,65.66,18.7
51.0,53.96,230.0,30.27,16.0,68.18,20.100000000000005
55.0,68.54,110.0,30.36,12.0,65.66,18.7
54.32,71.09,190.0,30.36,3.0,63.86,17.700000000000003
